latitude,longitude,city,region,country,continent
20.82488495,-98.49951688,Tianguistengo,Hidalgo,Mexico,North America
-3.45175152,-54.56393669,Placas,Pará,Brazil,South America
-23.49646371,-47.46054193,Sorocaba,São Paulo,Brazil,South America
-16.54867768,-72.85277758,Mariscal Cáceres,Arequipa,Peru,South America
-35.01086957,140.0643972,Borrika,South Australia,Australia,Oceania
-14.22366709,-43.75370355,Carinhanha,Bahia,Brazil,South America
38.06349662,32.59794981,Konya,Konya,Türkiye,Asia
-22.81322954,22.03515412,Bere,Ghanzi,Botswana,Africa
-11.71737961,-57.05230863,Porto dos Gaúchos,Mato Grosso,Brazil,South America
-27.07860659,146.7192057,Boatman,Queensland,Australia,Oceania
46.71905466,9.459717888,Scharans,Grisons,Switzerland,Europe
16.2263944,-14.07406777,Teka,Saint-Louis,Senegal,Africa
16.5252514,79.2460586,Macherla,Andhra Pradesh,India,Asia
-25.51086252,-63.00873004,Lote 33,Chaco,Argentina,South America
26.33348412,-102.6598057,San Pedro,Coahuila,Mexico,North America
2.253234338,99.64904229,Labuhan Batu Utara,North Sumatra,Indonesia,Asia
55.60493952,124.9186252,Тында,Amur,Russia,Asia
-28.64395625,134.3537937,Mount Willoughby,South Australia,Australia,Oceania
0.000271325,40.38448656,Jarajila,Garissa,Kenya,Africa
-10.78139948,-38.357234,Heliópolis,Bahia,Brazil,South America
44.08487932,111.1884431,Erdene,Dornogovi,Mongolia,Asia
-24.09338219,-50.35383822,Curiúva,Paraná,Brazil,South America
-39.71868496,-70.57281281,El Salitral,Neuquén,Argentina,South America
54.43463978,36.36091837,Калуга,Kaluga,Russia,Asia
-7.119905295,111.5604725,Blora,Central Java,Indonesia,Asia
-14.94045156,143.5541589,Yarraden,Queensland,Australia,Oceania
46.96431593,91.45170002,Monkhkhairkhan,Hovd,Mongolia,Asia
41.84265812,33.73204022,Küre,Kastamonu,Türkiye,Asia
-32.36562311,-66.93578981,Aguaditas,San Luis,Argentina,South America
-33.07499177,-64.72527751,Alpa Corral,Córdoba,Argentina,South America
46.46690779,19.61027161,Harkakötöny,Bács-Kiskun,Hungary,Europe
-8.709749021,-69.55795021,Manoel Urbano,Acre,Brazil,South America
-33.91484881,-57.76251157,Sarandí,Soriano,Uruguay,South America
37.41052793,40.84768713,Yesilli,Mardin,Türkiye,Asia
1.215827407,34.73411179,Chepchoina,Trans-Nzoia,Kenya,Africa
-28.30400068,24.55413662,Dikgatlong NU,Northern Cape,South Africa,Africa
12.20986266,105.3137642,Chamkar Leu,Kampong Cham,Cambodia,Asia
-32.31093668,125.1562395,Caiguna,Western Australia,Australia,Oceania
50.07412767,18.82259308,Orzesze,Silesian Voivodeship,Poland,Europe
-31.88003046,141.7919382,Broken Hill,New South Wales,Australia,Oceania
42.29721959,24.92379086,Раковски,Plovdiv,Bulgaria,Europe
-37.78817006,144.2142406,Beremboke,Victoria,Australia,Oceania
-18.1015108,135.6636376,Creswell,Northern Territory,Australia,Oceania
8.872528612,11.41777784,Yorro,Taraba,Nigeria,Africa
0.61424489,39.23578178,Modogashe,Garissa,Kenya,Africa
-47.66708386,-67.99612516,Puerto Deseado,Santa Cruz,Argentina,South America
51.21399069,34.11921872,,,Ukraine,Europe
-25.86926098,143.3897193,Eromanga,Queensland,Australia,Oceania
65.78097231,45.03256739,Бычье,Arkhangelsk,Russia,Asia
-21.97059913,133.4859638,Anmatjere,Northern Territory,Australia,Oceania
-0.908052928,-60.51686807,Presidente Figueiredo,Amazonas,Brazil,South America
-33.74513013,24.63639357,Kouga NU,Eastern Cape,South Africa,Africa
-18.22216565,142.8091744,Gilbert River,Queensland,Australia,Oceania
-11.55804735,-51.02835867,São Félix do Araguaia,Mato Grosso,Brazil,South America
-36.49550658,-60.79786056,Blanca Grande,Buenos Aires Province,Argentina,South America
-10.05753479,-67.96381212,Rio Branco,Acre,Brazil,South America
-38.34482905,-68.53479239,Auca Mahuida,Neuquén,Argentina,South America
-34.69906513,150.6869225,Brogers Creek,New South Wales,Australia,Oceania
47.44302153,109.7139337,Jargaltkhaan,Khentii,Mongolia,Asia
-0.6317656,114.5728442,Murung Raya,Central Kalimantan,Indonesia,Asia
61.31526074,13.17819543,Sörsjön,Dalarna,Sweden,Europe
